id,name,actions,level,rarity,prerequisites,frequency,cost,trigger,requirements,description,special,canSelectMultiple,isDefault,skillID,minProf,code,isCore,genericType,genTypeName,isArchived,contentSrc,homebrewID,version,createdAt,updatedAt
528,Escape,ACTION,-1,COMMON,NULL,NULL,NULL,NULL,NULL,"You attempt to escape from being grabbed, immobilized, or restrained. Choose one creature, object, spell effect, hazard, or other impediment imposing any of those conditions on you. Attempt an Acrobatics check, Athletics check, or a check using your unarmed attack modifier against the DC of the effect. This is typically the Athletics DC of a creature grabbing you, the Thievery DC of a creature who tied you up, the spell DC for a spell effect, or the listed Escape DC of an object, hazard, or other impediment.
Critical Success: You get free and remove the grabbed, immobilized, and restrained conditions imposed by your chosen target. You can then Stride up to 5 feet.
Success: You get free and remove the grabbed, immobilized, and restrained conditions imposed by your chosen target.
Critical Failure: You don’t get free, and you can’t attempt to Escape again until your next turn.",NULL,NULL,1,NULL,NULL,NULL,0,BASIC-ACTION,NULL,0,CRB,NULL,1.0,"2020-05-25 23:35:20","2020-05-25 23:35:20"
529,Fly,ACTION,-1,COMMON,NULL,NULL,NULL,NULL,"You have a fly Speed.","You move through the air up to your fly Speed. Moving upward (straight up or diagonally) uses the rules for moving through difficult terrain. You can move straight down 10 feet for every 5 feet of movement you spend. If you Fly to the ground, you don’t take falling damage. You can use an action to Fly 0 feet to hover in place.
If you’re airborne at the end of your turn and didn’t use a Fly action this round, you fall.",NULL,NULL,1,NULL,NULL,NULL,0,BASIC-ACTION,NULL,0,CRB,NULL,1.0,"2020-05-25 23:37:32","2020-05-25 23:37:32"
530,"Grab an Edge",REACTION,-1,COMMON,NULL,NULL,NULL,"You fall from or past an edge or handhold.","Your hands are not tied behind your back or otherwise restrained.","When you fall off or past an edge or other handhold, you can try to grab it, potentially stopping your fall. You must succeed at a Reflex save, usually at the Climb DC. If you grab the edge or handhold, you can then (action: Climb) up using Athletics.
Critical Success: You grab the edge or handhold, whether or not you have a hand free, typically by using a suitable held item to catch yourself (catching a battle axe on a ledge, for example). You still take damage from the distance fallen so far, but you treat the fall as though it were 30 feet shorter.
Success: If you have at least one hand free, you grab the edge or handhold, stopping your fall. You still take damage from the distance fallen so far, but you treat the fall as though it were 20 feet shorter. If you have no hands free, you continue to fall as if you had failed the check.
Critical Failure: You continue to fall, and if you’ve fallen 20 feet or more before you use this reaction, you take 10 bludgeoning damage from the impact for every 20 feet fallen.",NULL,NULL,1,NULL,NULL,NULL,0,BASIC-ACTION,NULL,0,CRB,NULL,1.0,"2020-05-25 23:41:47","2020-05-25 23:41:47"
533,"Mount / Dismount",ACTION,-1,COMMON,NULL,NULL,NULL,NULL,"You are adjacent to a creature that is at least one size larger than you and is willing to be your mount.","You move onto the creature and ride it.
If you’re already mounted, you can instead use this action to dismount, moving off the mount into a space adjacent to it.",NULL,NULL,1,NULL,NULL,NULL,0,BASIC-ACTION,NULL,0,CRB,NULL,1.0,"2020-05-25 23:46:14","2020-05-25 23:46:14"
534,"Point Out",ACTION,-1,COMMON,NULL,NULL,NULL,NULL,"A creature is undetected by one or more of your allies but isn’t undetected by you.","You indicate a creature that you can see to one or more allies, gesturing in a direction and describing the distance verbally. That creature is hidden to your allies, rather than undetected (page 466).
This works only for allies who can see you and are in a position where they could potentially detect the target. If your allies can’t hear or understand you, they must succeed at a Perception check against the creature’s Stealth DC or they misunderstand and believe the target is in a different location.",NULL,NULL,1,NULL,NULL,NULL,0,BASIC-ACTION,NULL,0,CRB,NULL,1.0,"2020-05-25 23:48:23","2020-05-25 23:48:23"
536,"Raise a Shield",ACTION,-1,COMMON,NULL,NULL,NULL,NULL,"You are wielding a shield.","You position your shield to protect yourself. When you have Raised a Shield, you gain its listed circumstance bonus to AC. Your shield remains raised until the start of your next turn.",NULL,NULL,1,NULL,NULL,NULL,1,BASIC-ACTION,NULL,0,CRB,NULL,1.0,"2020-05-25 23:54:12","2020-05-25 23:54:12"
539,Release,FREE_ACTION,-1,COMMON,NULL,NULL,NULL,NULL,NULL,"You release something you’re holding in your hand or hands.
This might mean dropping an item, removing one hand from your weapon while continuing to hold it in another hand, releasing a rope suspending a chandelier, or performing a similar action. Unlike most manipulate actions, Release does not trigger reactions that can be triggered by actions with the manipulate trait (such as (action: Attack of Opportunity)).
If you want to prepare to Release something outside of your turn, use the (action: Ready) activity.",NULL,NULL,1,NULL,NULL,NULL,0,BASIC-ACTION,NULL,0,CRB,NULL,1.0,"2020-05-25 23:59:34","2020-05-25 23:59:34"
540,Seek,ACTION,-1,COMMON,NULL,NULL,NULL,NULL,NULL,"You scan an area for signs of creatures or objects. If you’re looking for creatures, choose an area you’re scanning. If precision is necessary, the GM can have you select a 30-foot cone or a 15-foot burst within line of sight. You might take a penalty if you choose an area that’s far away.
If you’re using Seek to search for objects (including secret doors and hazards), you search up to a 10-foot square adjacent to you. The GM might determine you need to Seek as an activity, taking more actions or even minutes or hours if you’re searching a particularly cluttered area.
The GM attempts a single secret Perception check for you and compares the result to the Stealth DCs of any undetected or hidden creatures in the area or the DC to detect each object in the area (as determined by the GM or by someone (action: Concealing the Object | Conceal an Object)). A creature you detect might remain hidden, rather than becoming observed, if you’re using an imprecise sense or if an effect (such as invisibility) prevents the subject from being observed.
Critical Success: If you were searching for creatures, any undetected or hidden creature you critically succeeded against becomes observed by you. If you were searching for an object, you learn its location.
Success: If you were searching for creatures, any undetected creature you succeeded against becomes hidden from you instead of undetected, and any hidden creature you succeeded against becomes observed by you. If you were searching for an object, you learn its location or get a clue to its whereabouts, as determined by the GM.",NULL,NULL,1,NULL,NULL,NULL,1,BASIC-ACTION,NULL,0,CRB,NULL,1.0,"2020-05-26 00:07:21","2020-05-26 00:07:21"
541,"Sense Motive",ACTION,-1,COMMON,NULL,NULL,NULL,NULL,NULL,"You try to tell whether a creature’s behavior is abnormal. Choose one creature, and assess it for odd body language, signs of nervousness, and other indicators that it might be trying to deceive someone. The GM attempts a single secret Perception check for you and compares the result to the Deception DC of the creature, the DC of a spell affecting the creature’s mental state, or another appropriate DC determined by the GM.
You typically can’t try to Sense the Motive of the same creature again until the situation changes significantly.
Critical Success: You determine the creature’s true intentions and get a solid idea of any mental magic affecting it.
Success: You can tell whether the creature is behaving normally, but you don’t know its exact intentions or what magic might be affecting it.
Failure: You detect what a deceptive creature wants you to believe. If they’re not being deceptive, you believe they’re behaving normally.
Critical Failure: You get a false sense of the creature’s intentions.",NULL,NULL,1,NULL,NULL,NULL,0,BASIC-ACTION,NULL,0,CRB,NULL,1.0,"2020-05-26 00:09:10","2020-05-26 00:09:10"
544,Step,ACTION,-1,COMMON,NULL,NULL,NULL,NULL,"Your Speed is at least 10 feet.","You carefully move 5 feet. Unlike most types of movement, Stepping doesn’t trigger reactions, such as (action: Attacks of Opportunity | Attack of Opportunity), that can be triggered by move actions or upon leaving or entering a square.
You can’t Step into difficult terrain (page 475), and you can’t Step using a Speed other than your land Speed.",NULL,NULL,1,NULL,NULL,NULL,0,BASIC-ACTION,NULL,0,CRB,NULL,1.0,"2020-05-26 00:19:05","2020-05-26 00:19:05"
547,Stride,ACTION,-1,COMMON,NULL,NULL,NULL,NULL,NULL,"You move up to your Speed.",NULL,NULL,1,NULL,NULL,NULL,1,BASIC-ACTION,NULL,0,CRB,NULL,1.0,"2020-05-26 00:21:46","2020-05-26 00:21:46"
548,Strike,ACTION,-1,COMMON,NULL,NULL,NULL,NULL,NULL,"You attack with a weapon you’re wielding or with an unarmed attack, targeting one creature within your reach (for a melee attack) or within range (for a ranged attack). Roll the attack roll for the weapon or unarmed attack you are using, and compare the result to the target creature’s AC to determine the effect.
Critical Success: As success, but you deal double damage.
Success: You deal damage according to the weapon or unarmed attack, including any modifiers, bonuses, and penalties you have to damage.",NULL,NULL,1,NULL,NULL,NULL,1,BASIC-ACTION,NULL,0,CRB,NULL,1.0,"2020-05-26 00:23:24","2020-05-26 00:23:24"
549,"Take Cover",ACTION,-1,COMMON,NULL,NULL,NULL,NULL,"You are benefiting from cover, are near a feature that allows you to take cover, or are prone.","You press yourself against a wall or duck behind an obstacle to take better advantage of cover (page 477).
If you would have standard cover, you instead gain greater cover, which provides a +4 circumstance bonus to AC; to Reflex saves against area effects; and to Stealth checks to (action: Hide), (action: Sneak), or otherwise avoid detection. Otherwise, you gain the benefits of standard cover (a +2 circumstance bonus instead).
This lasts until you move from your current space, use an attack action, become unconscious, or end this effect as a free action.",NULL,NULL,1,NULL,NULL,NULL,1,BASIC-ACTION,NULL,0,CRB,NULL,1.0,"2020-05-26 00:25:32","2020-05-26 00:25:32"
551,Coerce,NONE,-1,COMMON,NULL,NULL,NULL,NULL,NULL,"With threats either veiled or overt, you attempt to bully a creature into doing what you want. You must spend at least 1 minute of conversation with a creature you can see and that can either see or sense you. At the end of the conversation, attempt an Intimidation check against the target’s Will DC, modified by any circumstances the GM determines.
Critical Success: The target gives you the information you seek or agrees to follow your directives so long as they aren’t likely to harm the target in any way. The target continues to comply for an amount of time determined by the GM but not exceeding 1 day, at which point the target becomes unfriendly (if they weren’t already unfriendly or hostile). However, the target is too scared of you to retaliate - at least in the short term.
Success: As critical success, but once the target becomes unfriendly, they might decide to act against you - for example, by reporting you to the authorities or assisting your enemies.
Failure: The target doesn’t do what you say, and if they were not already unfriendly or hostile, they become unfriendly.
Critical Failure: The target refuses to comply, becomes hostile if they weren’t already, and can’t be Coerced by you for at least 1 week.",NULL,NULL,1,8,NULL,NULL,1,SKILL-ACTION,NULL,0,CRB,NULL,1.0,"2020-05-26 00:29:41","2020-05-26 00:29:41"
555,Defend,NONE,-1,COMMON,NULL,NULL,NULL,NULL,NULL,"You move at half your travel speed with your shield raised. If combat breaks out, you gain the benefits of (action: Raising a Shield | Raise a Shield) before your first turn begins.",NULL,NULL,1,NULL,NULL,NULL,1,BASIC-ACTION,NULL,0,CRB,NULL,1.0,"2020-05-26 00:48:13","2020-05-26 00:48:13"
558,Search,NONE,-1,COMMON,NULL,NULL,NULL,NULL,NULL,"You (action: Seek) meticulously for hidden doors, concealed hazards, and so on. You can usually make an educated guess as to which locations are best to check and move at half speed, but if you want to be thorough and guarantee you checked everything, you need to travel at a Speed of no more than 300 feet per minute, or 150 feet per minute to ensure you check everything before you walk into it.
You can always move more slowly while Searching to cover the area more thoroughly, and the (feat: Expeditious Search) feat increases these maximum Speeds.
If you come across a secret door, item, or hazard while Searching, the GM will attempt a free secret check to (action: Seek) to see if you notice the hidden object or hazard. In locations with many objects to search, you have to stop and spend significantly longer to search thoroughly.",NULL,NULL,1,NULL,NULL,NULL,1,BASIC-ACTION,NULL,0,CRB,NULL,1.0,"2020-05-26 00:54:59","2020-05-26 00:54:59"
561,"Follow the Expert",NONE,-1,COMMON,NULL,NULL,NULL,NULL,NULL,"Choose an ally attempting a recurring skill check while exploring, such as climbing, or performing a different exploration tactic that requires a skill check (like (activity: Avoiding Notice | Avoid Notice)). The ally must be at least an expert in that skill and must be willing to provide assistance. While Following the Expert, you match their tactic or attempt similar skill checks.
Thanks to your ally’s assistance, you’re untrained, you can add your level as a proficiency bonus to the associated skill check. Additionally, you gain a circumstance bonus to your skill check based on your ally’s proficiency (+2 for expert, +3 for master, and +4 for legendary).",NULL,NULL,1,NULL,NULL,NULL,1,BASIC-ACTION,NULL,0,CRB,NULL,1.0,"2020-05-26 01:06:42","2020-05-26 01:06:42"
562,"Gather Information",NONE,-1,COMMON,NULL,NULL,NULL,NULL,NULL,"You canvass local markets, taverns, and gathering places in an attempt to learn about a specific individual or topic. The GM determines the DC of the check and the amount of time it takes (typically 2 hours, but sometimes more), along with any benefit you might be able to gain by spending coin on bribes, drinks, or gifts. More obscure or well-guarded information might require you to have a minimum proficiency rank in Diplomacy to Gather Information.
Success: You collect information about the individual or topic. The GM determines the specifics.
Critical Failure: You collect incorrect information about the individual or topic.",NULL,NULL,1,7,NULL,NULL,1,SKILL-ACTION,NULL,0,CRB,NULL,1.0,"2020-05-26 01:11:07","2020-05-26 01:11:07"
563,Hustle,NONE,-1,COMMON,NULL,NULL,NULL,NULL,NULL,"You strain yourself to move at double your travel speed. You can Hustle only for a number of minutes equal to your Constitution modifier × 10 (minimum 10 minutes). If you are in a group that is Hustling, use the lowest Constitution modifier among everyone to determine how fast the group can Hustle together.",NULL,NULL,1,NULL,NULL,NULL,1,BASIC-ACTION,NULL,0,CRB,NULL,1.0,"2020-05-26 01:45:25","2020-05-26 01:45:25"
567,Impersonate,NONE,-1,COMMON,NULL,NULL,NULL,NULL,NULL,"You create a disguise to pass yourself off as someone or something you are not. Assembling a convincing disguise takes 10 minutes and requires a disguise kit, but a simpler, quicker disguise might do the job if you’re not trying to imitate a specific individual, at the GM’s discretion.
In most cases, creatures have a chance to detect your deception only if they use the (action: Seek) action to attempt Perception checks against your Deception DC. If you attempt to directly interact with someone while disguised, the GM rolls a secret Deception check for you against that creature’s Perception DC instead. If you’re disguised as a specific individual, the GM might give creatures you interact with a circumstance bonus based on how well they know the person you’re imitating, or the GM might roll a secret Deception check even if you aren’t directly interacting with others.
Success: You trick the creature into thinking you’re the person you’re disguised as. You might have to attempt a new check if your behavior changes.
Failure: The creature can tell you’re not who you claim to be.
Critical Failure: The creature can tell you’re not who you claim to be, and it recognizes you if it would know you without a disguise.",NULL,NULL,1,6,NULL,NULL,1,SKILL-ACTION,NULL,0,CRB,NULL,1.0,"2020-05-26 01:57:56","2020-05-26 01:57:56"
568,Investigate,NONE,-1,COMMON,NULL,NULL,NULL,NULL,NULL,"You seek out information about your surroundings while traveling at half speed. You use (action: Recall Knowledge) as a secret check to discover clues among the various things you can see and engage with as you journey along. You can use any skill that you can (action: Recall Knowledge) with while Investigating, but the GM determines whether the skill is relevant to the clues you could find.",NULL,NULL,1,NULL,NULL,NULL,1,BASIC-ACTION,NULL,0,CRB,NULL,1.0,"2020-05-26 02:01:04","2020-05-26 02:01:04"
584,Subsist,NONE,-1,COMMON,NULL,NULL,NULL,NULL,NULL,"You try to provide food and shelter for yourself, and possibly others as well, with a standard of living described on page 294. You attempt a Society check if you're trying to Subsist in a settlement by finding shelter, scrounging, or begging for food; and a Survival check if you're trying to Subsist in the wild by foraging for food and building shelter. The GM determines the DC based on the nature of the place where you’re trying to Subsist.
You also might need a minimum proficiency rank to Subsist in particularly difficult environments.
Unlike most downtime activities, you can Subsist after 8 hours or less of exploration, but if you do, you take a -5 penalty.
Critical Success: You either provide a subsistence living for yourself and one additional creature, or you improve your own food and shelter, granting yourself a comfortable living.
Success: You find enough food and shelter with basic protection from the elements to provide you a subsistence living.
Failure: You’re exposed to the elements and don’t get enough food, becoming fatigued until you attain sufficient food and shelter.
Critical Failure: You attract trouble, eat something you shouldn’t, or otherwise worsen your situation. You take a –2 circumstance penalty to checks to Subsist for 1 week. You don’t find any food at all; if you don’t have any stored up, you’re in danger of starving or dying of thirst if you continue failing.",NULL,NULL,1,NULL,NULL,NULL,1,BASIC-ACTION,NULL,0,CRB,NULL,1.0,"2020-05-26 03:28:36","2020-05-26 03:28:36"
586,Squeeze,NONE,-1,COMMON,NULL,NULL,NULL,NULL,"trained in Acrobatics","You contort yourself to squeeze through a space so small you can barely fit through. This action is for exceptionally small spaces; many tight spaces are difficult terrain that you can move through more quickly and without a check.
Extremely tight spaces might require you to have a higher minimum proficiency rank in Acrobatics to Squeeze.
Critical Success: You squeeze through the tight space in 1 minute per 10 feet of squeezing.
Success: You squeeze through in 1 minute per 5 feet.
Critical Failure: You become stuck in the tight space. While you’re stuck, you can spend 1 minute attempting another Acrobatics check at the same DC. Any result on that check other than a critical failure causes you to become unstuck.",NULL,NULL,1,1,NULL,NULL,1,SKILL-ACTION,NULL,0,CRB,NULL,1.0,"2020-05-26 04:03:33","2020-05-26 04:03:33"
588,Balance,ACTION,-1,COMMON,NULL,NULL,NULL,NULL,"You are in a square that contains a narrow surface, uneven ground, or another similar feature.","You move across a narrow surface or uneven ground, attempting an Acrobatics check against its Balance DC. You are flat-footed while on a narrow surface or uneven ground.
Very narrow or uneven spaces might require you to have a minimum proficiency rank in Acrobatics to Balance.
Critical Success: You move up to your Speed.
Success: You move up to your Speed, treating it as difficult terrain (every 5 feet costs 10 feet of movement).
Failure: You must remain stationary to keep your balance (wasting the action) or you fall and your turn ends.
Critical Failure: You fall and your turn ends.",NULL,NULL,1,1,NULL,NULL,0,SKILL-ACTION,NULL,0,CRB,NULL,1.0,"2020-05-26 04:08:58","2020-05-26 04:08:58"
589,"Tumble Through",ACTION,-1,COMMON,NULL,NULL,NULL,NULL,NULL,"You (action: Stride) up to your Speed. During this movement, you can try to move through the space of one enemy. Attempt an Acrobatics check against the enemy’s Reflex DC as soon as you try to enter its space. You can Tumble Through using (action: Climb), (action: Fly), (action: Swim), or another action instead of (action: Stride) in the appropriate environment.
Success: You move through the enemy’s space, treating the squares in its space as difficult terrain. If you don’t have enough Speed to move all the way through its space, you get the same effect as a failure.
Failure: Your movement ends, and you trigger reactions as if you had moved out of the square you started in.
",NULL,NULL,1,1,NULL,NULL,0,SKILL-ACTION,NULL,0,CRB,NULL,1.0,"2020-05-26 04:11:54","2020-05-26 04:11:54"
590,"Maneuver in Flight",ACTION,-1,COMMON,NULL,NULL,NULL,NULL,"trained in Acrobatics and you have a fly Speed.","You try a difficult maneuver while flying. Attempt an Acrobatics check. The GM determines what maneuvers are possible, but they rarely allow you to move farther than your fly Speed.
Extremely difficult maneuvers might require you to have a higher minimum proficiency rank in Acrobatics to Maneuver in Flight.
Success: You succeed at the maneuver.
Failure: Your maneuver fails. The GM chooses if you simply can’t move or if some other detrimental effect happens. The outcome should be appropriate for the maneuver you attempted (for instance, being blown off course if you were trying to fly against a strong wind).
Critical Failure: As failure, but the consequence is more dire.",NULL,NULL,1,1,NULL,NULL,0,SKILL-ACTION,NULL,0,CRB,NULL,1.0,"2020-05-26 04:18:49","2020-05-26 04:18:49"
592,"Recall Knowledge",ACTION,-1,COMMON,NULL,NULL,NULL,NULL,NULL,"You attempt a skill check to try to remember a bit of knowledge regarding a topic related to that skill. The GM determines the DCs for such checks and which skills apply.
Very obscure information might require you to have a minimum proficiency rank in the skill you use to Recall Knowledge.
Critical Success: You recall the knowledge accurately and gain additional information or context.
Success: You recall the knowledge accurately or gain a useful clue about your current situation.
Critical Failure: You recall incorrect information or gain an erroneous or misleading clue.
The following skills can be used to Recall Knowledge, getting information about the listed topics. In some cases, you can get the GM’s permission to use a different but related skill, usually against a higher DC than normal. Some topics might appear on multiple lists, but the skills could give different information. For example, Arcana might tell you about the magical defenses of a golem, whereas Crafting could tell you about its sturdy resistance to physical attacks.
* Arcana:: arcane theories, magical traditions, creatures of arcane significance, and arcane planes.
* Crafting:: Alchemical reactions and creatures, item value, engineering, unusual materials, and constructs.
* Lore:: The subject of the Lore skill’s subcategory.
* Medicine:: Diseases, poisons, wounds, and forensics.
* Nature:: The environment, flora, geography, weather, creatures of natural origin, and natural planes.
* Occultism:: Ancient mysteries, obscure philosophy, creatures of occult significance, and esoteric planes.
* Religion:: divine agents, divine planes, theology, obscure myths, and creatures of religious significance.
* Society:: Local history, key personalities, legal institutions, societal structure, and humanoid culture.
The GM might allow checks to Recall Knowledge using other skills. For example, you might assess the skill of an acrobat using Acrobatics. If you’re using a physical skill (like in this example), the GM will most likely have you use a mental ability score -typically Intelligence- instead of the skill’s normal physical ability score.",NULL,NULL,1,NULL,NULL,NULL,1,BASIC-ACTION,NULL,0,CRB,NULL,1.0,"2020-05-26 04:25:18","2020-05-26 04:25:18"
595,"Decipher Writing",NONE,-1,COMMON,NULL,NULL,NULL,NULL,"trained in the skill being used","You attempt to decipher complicated writing or literature on an obscure topic. This usually takes 1 minute per page of text, but might take longer (typically an hour per page for decrypting ciphers or the like). The text must be in a language you can read, though the GM might allow you to attempt to decipher text written in an unfamiliar language using Society instead.
More complex codes or particularly advanced topics might require you to have a higher minimum proficiency rank in the skill you're using to Decipher Writing.
Attempt one of the following skill checks based off of the context of the writing:
* Arcana: writings about magic or science, like arcane theory.
* Occultism: esoteric texts about mysteries and philosophy, occult topics, including complex metaphysical systems, syncretic principles, weird philosophies, and incoherent ramblings.
* Religion: scriptures of a religious nature, including allegories, homilies, and proverbs.
* Society: a coded message, text written in an incomplete or archaic form, or in some cases, text in a language you don’t know.
The DC is determined by the GM based on the state or complexity of the document. The GM might have you roll one check for a short text or a check for each section of a larger text.
Critical Success: You understand the true meaning of the text.
Success: You understand the true meaning of the text. If it was a coded document, you know the general meaning but might not have a word-for-word translation.
Failure: You can’t understand the text and take a –2 circumstance penalty to further checks to decipher it.
Critical Failure: You believe you understand the text on that page, but you have in fact misconstrued its message.",NULL,NULL,1,NULL,NULL,NULL,1,BASIC-ACTION,NULL,0,CRB,NULL,1.0,"2020-05-26 04:35:41","2020-05-26 04:35:41"
596,"Identify Magic",NONE,-1,COMMON,NULL,NULL,NULL,NULL,"trained in the skill being used","Once you discover that an item, location, or ongoing effect is magical, you can spend 10 minutes to try to identify the particulars of its magic. If your attempt is interrupted, you must start over. The GM sets the DC for your check. Cursed or esoteric subjects usually have higher DCs or might even be impossible to identify using this activity alone. Heightening a spell doesn’t increase the DC to identify it.
Attempt one of the following skill checks based off of the magical tradition of the source:
* Arcane:: Arcana
* Divine:: Religion
* Occult:: Occultism
* Primal:: Nature
Critical Success: You learn all the attributes of the magic, including its name (for an effect), what it does, any means of activating it (for an item or location), and whether it is cursed.
Success: For an item or location, you get a sense of what it does and learn any means of activating it. For an ongoing effect (such as a spell with a duration), you learn the effect’s name and what it does. You can’t try again in hopes of getting a critical success.
Failure: You fail to identify the magic and can’t try again for 1 day.
Critical Failure: You misidentify the magic as something else of the GM’s choice.",NULL,NULL,1,NULL,NULL,NULL,1,BASIC-ACTION,NULL,0,CRB,NULL,1.0,"2020-05-26 04:37:00","2020-05-26 04:37:00"
